"id","title","content","link","published_date","scraped_at"
43,"Ghana achieves stable power supply, eyes green future after major energy reforms.","Ghanaians are now enjoying a stable and dependable power supply, thanks to significant ongoing reforms in the energy sector, Minister for Energy and Green Transition, John Abdulai Jinapor, has announced.
Taking his turn at the Government #AccountabilitySeries, John Jinapor stated that there has been a significant turnaround from the “persistent and erratic power outages” experienced earlier this year.
“We have witnessed a remarkable improvement and reliable supply of power,” he stated, attributing this success to comprehensive reforms addressing both technical inefficiencies and financial challenges within the sector.
“You can attest to the fact that we are now experiencing a reliable, uninterruptible supply of power,” he emphasised, a demonstration of the visible impact of the government’s interventions.
Looking ahead, Mr Jinapor unveiled plans for a five-year strategic document aimed at accelerating Ghana’s renewable energy and green transition agenda.
This crucial blueprint will guide future policy reforms, ensuring a sustainable and environmentally friendly energy future for the nation.
The Ministry’s initiatives reflect the government’s unwavering commitment to ensuring a robust, sustainable, and reliable energy sector for all Ghanaians.","https://presidency.gov.gh/ghana-achieves-stable-power-supply-eyes-green-future-after-major-energy-reforms/","17 July 2025","2025-12-05T19:45:04.918820"
44,"Mahama unveils landmark Code of Conduct for appointees","President John Dramani Mahama has launched a comprehensive Code of Conduct and Ethics for all political appointees, marking a significant step toward enhanced transparency, accountability, and ethical governance.
The unveiling fulfils a key promise made during the 2024 general election as part of the President’s 120-day Social Contract with the Ghanaian people. The Code of Conduct applies to executive branch officials, including the President, Vice President, Ministers and Deputy Ministers, and Presidential Staffers.
“This Code represents a bold declaration of the standards we must uphold as servants of the public,” President Mahama stated during the launch ceremony at the Presidency.
“It is a living and enforceable framework that outlines what is expected of every individual appointed under this administration. This is a government of shared responsibility, and there will be no sacred cows.”
The Code of Conduct is based on core principles intended to promote a new political culture grounded in transparency, humility, and ethical leadership. Key provisions include requirements that all political appointees:
Serve the public with integrity and impartiality
Place the national interest above personal interests
Avoid misuse of office or state resources
Declare and manage any potential conflicts of interest
Eschew opulence and be accountable for the use of public funds
Demonstrate humility in service, measured language, and respect for citizens
The Code of Conduct establishes stringent guidelines to prevent and manage conflicts of interest, mandating disclosure of any situation where personal interests may conflict with official duties. Specific prohibitions include holding stakes in companies that deal with the Government or relevant ministries, using insider knowledge for personal benefit, and awarding contracts to connected entities.
To maintain impartiality and prevent undue influence, the Code prohibits appointees from accepting gifts or favours, particularly from individuals or companies with interests in governmental decisions.
Gifts received during official engagements exceeding GH¢20,000.00 must be declared and surrendered upon leaving office unless otherwise permitted by the President. Purchasing and distributing hampers using government funds is generally prohibited, with limited exceptions for modest staff recognition.
All official and unofficial international travel undertaken by Ministers requires the prior approval of the Chief of Staff’s office. A report and retirement of impressed funds are due within 14 days of return.
President Mahama emphasised the importance of asset declaration, noting that appointees who failed to meet the March 31, 2025, deadline will forfeit three months of salary to the Ghana Medical Trust Fund (Mahama Cares).
Additionally, non-compliant appointees will be required to donate an additional one month’s salary, for a total donation of four months’ salary, to the Mahama Cares Trust Fund. “However, if by the close of Wednesday, 7th of May 2025, any of you still fail to declare your assets, count yourself as automatically dismissed.”
“Strict compliance with this code will restore confidence in the political elite and help to consolidate our democracy,” President Mahama concluded. “Let us walk this path together with discipline, humility, and an unyielding commitment to the people of Ghana.”
Demonstrating his commitment to the principles outlined in the Code, President Mahama, represented by Presidential Spokesperson and Minister of State for Government Communications Felix Kwakye Ofosu, presented two vehicles donated by a car company to Chief of Staff Julius Debrah, to be added to the Government vehicle pool.","https://presidency.gov.gh/mahama-unveils-landmark-code-of-conduct-for-appointees/","06 May 2025","2025-12-05T19:45:04.983605"
45,"Mahama attends inauguration of Gabon’s president-elect in Libreville.","Libreville, Gabon
– President John Dramani Mahama arrived in Libreville, Gabon, on Friday evening to attend the inauguration and swearing-in ceremony of President-elect General Brice Clotaire Oligui Nguema, scheduled for Saturday, May 03.
General Nguema recorded a decisive victory in his country’s April 12th election after leading the nation for some time following a coup d’état that removed former President Omar Bongo.
President Mahama’s presence at the inauguration highlights the strong bilateral relationship between Ghana and Gabon. Under President Mahama’s leadership, Ghana remains dedicated to promoting peace, security, and regional integration across Africa.
The President’s delegation includes National Security Advisor Prosper Douglas Bani, Secretary to the President Dr. Callistus Mahama, Foreign Minister Samuel Okudzeto Ablakwa, and Deputy Chief of Staff for Operations Stan Xoese Dogbe.
END.","https://presidency.gov.gh/mahama-attends-inauguration-of-gabons-president-elect-in-libreville/","02 May 2025","2025-12-05T19:45:05.176295"
46,"Ghana is safe; President satisfied with plans to roll out 24-hour economy.","“Ghana is Safe. The President has been fully briefed on the state of the economy and is satisfied with policy proposals to address the challenges. He has also been appraised on work done so far to roll out the 24-hour economy policy”, Minister for Government Communications Felix Kwakye Ofosu has stated.
Addressing the presidential press corps after the cabinet’s first meeting on Thursday, Mr Kwakye Ofosu said President John Mahama would appraise Ghanaians on the true state of the economy, which is worse than anticipated, when he presents the State of the Nation Address to Parliament next week.
According to the Minister, the cabinet was briefed on plans to “fully roll out President Mahama’s foremost policy towards transforming Ghana: the 24-hour economy.”
Minister for Finance, Dr Ato Forson, also told the cabinet that the economic situation is dire “and the numbers are even worse than we had known before the elections”, Mr Kwakye Ofosu emphasised.
He announced that more details on the economy and policies to reset will be discussed at the National Economic Dialogue slated for the 3rd and 4th of March 2025.
Various experts and stakeholders drawn from academia, civil society organisations, public servants, and other interested parties will discuss the economy and make recommendations that will be factored into the 2025 budget statement, which will be presented to Parliament on March 11th.","https://presidency.gov.gh/ghana-is-safe-president-satisfied-with-plans-to-roll-out-24-hour-economy/","20 February 2025","2025-12-05T19:45:05.252920"
47,"Mahama advocates AU’s financial independence","In an address at an African Union High-Level Retreat, President John Dramani Mahama advocated for the Union’s financial independence to ensure that the continental body is free from overreliance on external funding.
He, therefore, called for an expedited implementation of the Kigali decision on financing the continental body. The Kigali Decision on Financing the Union was made in July 2016 and was to establish a levy on imported goods to fund the AU.
President Mahama also advocated for principles on how member states conduct their affairs, ensuring that their policies and programmes translate into real change for their people.
“We must adopt a mechanism that prioritises accountability, transparency and value for money, ensuring that every resource is maximised for the benefit of the African people”, he stated.
The two-day Heads of State retreat on the Institutional Reform of the African Union in Nairobi, Kenya, was chaired by Kenyan President William Ruto as the Chair of the AU Institutional Reforms.
President Mahama said one of the pillars of reforms is the AU’s financial autonomy, arguing that the over-reliance on external partners for funding compromises the organisation’s independence and ability to set its own agenda.","https://presidency.gov.gh/mahama-advocates-aus-financial-independence/","29 January 2025","2025-12-05T19:45:05.312765"
48,"Accra Reset: Speech by H.E. President Olusegun Obasanjo at the G20 Leaders’ Summit, Johannesburg, South Africa.","Your Excellencies,
Distinguished Heads of State and Government,
I am here for the Accra Reset, a global South-anchored platform.
Allow me to begin by conveying special greetings from H.E. John Dramani Mahama, President of the Republic of Ghana, and African Union Champion for Reparations, the African Union’s continental theme for this year. He is also spearheading Accra Reset. President Mahama extends his deep appreciation to H.E. President Cyril Ramaphosa, whose leadership has guided this G20 cycle with clarity, courage, and profound commitment to justice.
Congratulations are due to South Africa and the African Union for their exceptional representation of the aspirations of Africa, Global Africa, and the wider Global South. This Johannesburg Summit has been defined by integrity of purpose, a clear focus on structural reform, and an unwavering commitment to ensure that the G20 delivers progress for all peoples and not just a privileged few.
We also acknowledge several important highlights of this year’s Presidency:
– the advancement of a more equitable global financial architecture;
– the strong emphasis on global health resilience and manufacturing sovereignty;
– the renewed momentum around digital public infrastructure and fair technology partnerships;
– the focus on inclusive growth and decent jobs; and
– the widening of Global South participation in multilateral decision-making.
Your Excellencies, these priorities resonate profoundly with the mission that several of your governments helped shape over the last three years. I speak of the Accra Reset, a Global South–anchored ambition to transform development cooperation into a system that is country-led, regionally empowered, and globally coherent.|
Today, on this historic platform, we humbly request continued cooperation between the G20, the South African Presidency, the African Union, and the Accra Reset.
We are pleased to announce that, as of this month:
– the interim Secretariat of the Accra Reset has formally commenced operations in Ghana;
– the Circle of Leaders has expanded to include more than two dozen former Heads of State and Heads of International Organisations from Africa, Asia, Latin America, Europe, and the Caribbean;
– a High-Level Panel is being convened to prepare a landmark report on restructuring global governance, to be submitted to a commissioning authority composed of Heads of State from across both the Global North and Global South.
These developments speak to a simple truth: we are entering a moment in world affairs when durable solutions must be co-created, not imposed; negotiated with fairness, not inherited from history; and built on sovereignty, dignity, common security and shared prosperity.
The Accra Reset stands ready to work closely with the G20. It is poised to serve as the connective tissue interlinking the public, private, and civil factions of Global South societies. It aims to work through the African Union and the South African Presidency to advance ongoing G20-enabled reforms in health governance, digital cooperation, development finance, investments with guarantees and assurance for investor, jobs for youth, wealth creation and resilient supply chains.
Our history of AID and loans has created an economy of dependency. To move forward, we must re-architect our economies based on trade and investment. We see this cooperation not as a parallel track, but as a strategic reinforcement of the agenda in finance and financial architecture championed in Leaders Declaration of 2025 G20 Summit in South Africa, mindful of inadequacy of AID which is drying up and borrowing which has become counterproductive for human capital development in Global Africa.
Your Excellencies,
On behalf of the interim Presidential Council, the Circle of Leaders, and the global coalition behind the Accra Reset, I express profound gratitude to President Ramaphosa, and all G20 members for the opportunity to mark the beginning of a new partnership between the G20 and the Accra Reset.
We stand ready to work, and to do so with humility, discipline, and unwavering resolve, to help shape a workable multilateral order for finance for development and for investment for this generation and the next. Through our collective efforts, we shall transition the international development system from endless aspirational targets to workable business models that drive real and durable change and collaboration for mutual interest.
Thank you for listening.","https://presidency.gov.gh/accra-reset-speech-by-h-e-president-olusegun-obasanjo-at-the-g20-leaders-summit-johannesburg-south-africa/","03 December 2025","2025-12-05T19:45:05.375633"
49,"President directs urgent action to bridge USAID funding gap","President John Dramani Mahama has directed his Minister for Finance, Dr. Cassiel Ato Forson, to take immediate steps to address the significant funding gap caused by the suspension of USAID’s international funding programme.
The suspension has left a shortfall estimated at $156 million, with critical health and social intervention programmes at risk of disruption.
In a statement released by Felix Kwakye Ofosu, Spokesperson to the President and Minister for Government Communications, President Mahama expressed deep concern over the potential impact of the funding gap.
Of particular concern is the projected $78.2 million shortfall that threatens essential programmes in malaria prevention, maternal and child health, family planning, reproductive health, nutrition, and the fight against HIV/AIDS.
The President emphasised that the suspension of USAID funding could severely affect the availability of antiretroviral drugs, HIV testing, and prevention programmes, as well as other critical health interventions.
To mitigate these challenges, President Mahama has instructed the Finance Minister to prioritise bridging arrangements for these key areas to ensure continuity in service delivery and safeguard public health outcomes.
“The President is deeply committed to protecting the gains made in these critical sectors and has directed that urgent steps be taken to address the funding gap,” the statement read.
The government is expected to explore alternative funding mechanisms and reallocate resources to prevent any disruption in these vital programmes. The suspension of USAID funding comes at a time when Ghana is intensifying efforts to combat malaria, reduce maternal and child mortality, and strengthen its HIV/AIDS response.
The government’s swift action to bridge the gap underscores its commitment to maintaining progress in these areas and ensuring that vulnerable populations continue to receive essential services.","https://presidency.gov.gh/president-directs-urgent-action-to-bridge-usaid-funding-gap/","11 February 2025","2025-12-05T19:45:05.429647"
50,"First Lady Lordina Mahama Urges Global Unity for Child Protection at UN General Assembly Prayer Service","First Lady Mrs Lordina Dramani Mahama has appealed for concerted global action to safeguard the future of children, calling for a peaceful world with opportunities for their growth and well-being.
Her impassioned plea was at a special annual prayer session for children at the Tillman Chapel Church Centre in New York, on the sidelines of the 80th session of the United Nations General Assembly.
Mrs Mahama highlighted the uncertainties faced by children today, exacerbated by scaled-back funding for essential services, growing mistrust in institutions, and an erosion of hope.
She noted that while the challenges, especially for the vulnerable, are immense, they can be overcome through collective prayer and an unwavering commitment to confront the rapidly changing global order.
“We gather here from different nations and cultures, but we are united by our shared faith,” she stated, adding that, through prayer and decisive leadership, “we can create a world where every child is protected and empowered to achieve their full potential.”
Mrs Mahama painted a stark picture of the thousands of children caught in armed conflicts and humanitarian crises, particularly in Africa, where their childhoods are brutally stolen.
“These are precious lives destroyed by circumstances beyond their control,” she lamented. “When nations fail to focus on policies that safeguard the home, strengthen communities, and nurture the youth, it is our children who suffer the most. They are the ones who lose parents, siblings, homes, dreams, and carry emotional scars that can last forever.”
The First Lady mentioned her personal commitment to these ideals through the work of the Lordina Foundation, her non-governmental organisation dedicated to the welfare of underprivileged children and orphans in Ghana.
Mrs Mahama expressed hope that with broader support, such philanthropic efforts across the globe could profoundly impact the lives of countless children.
In her prayer for the world’s children, the First Lady said: “Heavenly Father, I lift the needy and orphaned children in Ghana and across the world into your loving care. I ask that you surround them with protection, comfort, and hope for a brighter future. Provide for their daily needs, including food, shelter, clothing, and education. Bless those who dedicate their time and resources to care for them. May these children grow in wisdom, strength, and joy, knowing that you love them. Guide their paths with opportunities, surround them with kindness, and let their lives shine as testimonies of your unfailing grace and provision. Amen.”
The annual prayer service, a crucial platform for advocacy, was facilitated by World Vision International in partnership with the World Council of Churches, Caritas Internationalis, the Episcopal Church, and other leading faith-based organisations.","https://presidency.gov.gh/first-lady-lordina-mahama-urges-global-unity-for-child-protection-at-un-general-assembly-prayer-service/","22 September 2025","2025-12-05T19:45:05.488810"
51,"Mahama receives credentials from 5 new envoys, reaffirms commitment to global cooperation","President John Dramani Mahama on Thursday formally received the Letters of Credence from five new envoys accredited to Ghana. The presentation of credentials marks the official beginning of their diplomatic missions in the country.
Speaking after receiving the letters of credentials from the new envoys, President Mahama reiterated Ghana’s commitment to deepening bilateral relations with friendly countries worldwide. He emphasised the importance of fostering mutually beneficial partnerships, particularly in the areas of trade, economic development, technical and security cooperation, as well as tourism and cultural exchanges.
The new envoys who presented their credentials are:
– Her Excellency Mrs. Maria Da Conceicao De Souse Pilar, Ambassador of the Republic of Portugal.
– His Excellency Conrad Vincent Mederic, High Commissioner of The Republic of Seychelles.
– His Excellency Citizen Jesús Albert Garcia, Ambassador of the Bolivarian Republic of Venezuela.
– His Excellency Gonfouli Souariba, Ambassador of the Republic of Chad.
– His Excellency Maximin Mangoualamangoye, High Commissioner of the Republic of Gabon.
President Mahama extended his felicitations to the envoys on their appointments and expressed confidence that their presence in Ghana would contribute significantly to solidifying existing friendships and exploring new avenues for cooperation between Ghana and their respective countries.","https://presidency.gov.gh/mahama-receives-credentials-from-5-new-envoys-reaffirms-commitment-to-global-cooperation/","10 July 2025","2025-12-05T19:45:05.555092"
52,"SPEECH: President Mahama accounts for his 120 days in office.","Today, May 7, 2025, marks one hundred and twenty (120) days since I had the profound honour of being sworn in as President of the Republic of Ghana for a new four-year term. It is a day that I specifically noted on our calendar to come before you, the people of Ghana, to account for the critical first steps we promised to take in our initial months in oﬃce.
Please
download
a copy of President Mahama’s presentation in his National Broadcast on the occassion of his
120 days in office.","https://presidency.gov.gh/speech-president-mahama-accounts-for-his-120-days-in-office/","07 May 2025","2025-12-05T19:45:05.610788"
53,"Mahama champions collaboration, trade during Bamako visit.","President John Dramani Mahama paid a working visit to Bamako, Mali on Saturday, where discussions focused on strengthening bilateral relations, addressing regional security concerns, and fostering economic growth.
Mr Mahama noted that the visit underscored the enduring friendship between the two nations, built upon a foundation laid by their founding fathers, Dr. Kwame Nkrumah and President Keita.
The visit continues President Mahama’s efforts to engage with neighbouring countries and strengthen Ghana’s policy of good neighbourliness. He was received at the airport by the Malian leader, General Assimi Goita, before their meetings in the Presidential Palace. From Mali, Mr Mahama will continue to Niger and Burkina Faso.
Speaking to the press after a closed-door meeting with Malian Transition President General Assimi Goita, Mr Mahama emphasised the historic ties between Ghana and Mali.
“Everybody knows the historic relations that have existed between Ghana and Mali since the period of our ex-presidents, Keita and Dr. Kwame Nkrumah… and so I came on a friendly visit, and also to thank President Goita for allowing Prime Minister Maiga to visit Ghana when I was being inaugurated as president.”
Mr. Mahama underscored the importance of transit trade and the deep cultural ties that bind the two nations, reiterating Ghana’s dedication to promoting economic growth across the subregion. Discussions also focused on reviving the Permanent Joint Commission for Cooperation which was stalled in 2011, to address existing trade and diplomatic bottlenecks.
Recognising the growing threat of insurgency and terrorism in West Africa, President Mahama engaged in crucial discussions regarding enhanced security cooperation, particularly with the Alliance of Sahel States (AES). He stressed the importance of strengthening ties to advance Africa’s sovereignty and find collaborative solutions to these pressing regional challenges.
Addressing the complex relationship between the Economic Community of West African States (ECOWAS) and the Sahel states (Mali, Burkina Faso, and Niger), President Mahama expressed his belief that despite their departure from ECOWAS, the friendship and brotherly love between the people should continue. He advocated for continued dialogue and reconciliation between the Sahel states and the regional bloc.
Before the bilateral talks, Mr. Mahama stopped along the road in front of his hotel to acknowledge greetings from the Ghanaian community in Bamako, demonstrating his commitment to the well-being of Ghanaian citizens abroad.
The day ended with a visit to the historic statue of Dr. Kwame Nkrumah, located in the heart of Bamako. This is a powerful symbol of the shared history and pan-African aspirations of Ghana and Mali.","https://presidency.gov.gh/mahama-champions-collaboration-trade-during-bamako-visit/","09 March 2025","2025-12-05T19:45:05.680195"
54,"Mahama attends Liberia’s 178th independence anniversary","President John Dramani Mahama, on Saturday, joined President Joseph Nyuma Boakai and the people of Liberia to celebrate their 178th Independence Day celebration in Monrovia.
The event held at the Centennial Memorial Pavilion in Monrovia, Montserrado County, was attended by heads of states from the subregion including the Presidents of Senegal, Sierra Leone, and Guinea Bissau. There were also representatives of the governments of Cote D’Ivoire, Nigeria, and Gambia.
Liberia used the occasion to recognise ECOWAS member states that contributed troops to the multinational peacekeeping force, ECOMOG, which played a key role in ending the civil war as well as securing humanitarian corridors during the Liberian war.
President Mahama received Ghana’s honour from the Liberian President on behalf of the Ghana Armed Forces and the people of Ghana for the contribution of its gallant soldiers.
President Boakai in a spirit of national reconciliation said Liberia must heal itself, unite for a common purpose and inspire all for a faster development of the country.
He called on all his citizens to leverage on technology to transform Liberia.
The celebration as on the theme “One people, one destiny, healing the past and building the future the ceremony reflected on the past, need for stock taking, reconciliation, a united national identity to rebuild a peaceful Liberia, endowed with rich natural resources”.
The President was accompanied by the Minister for Defence, Dr Edward Omane Boamah, the Chief of Defence Staff of the Ghana Armed Forces, Lt. General William Agyapong and Deputy Chief of Staff, Operations, Stanislav Xoese Dogbe.","https://presidency.gov.gh/mahama-attends-liberias-178th-independence-anniversary/","26 July 2025","2025-12-05T19:45:05.746199"
55,"STATEMENT: 3-day state visit by President of the Czech Republic","President John Dramani Mahama will host the President of the Czech Republic, His Excellency Petr Pavel, next week for a three-day State Visit to Ghana.
It will be the first State Visit hosted by President Mahama since his return to the Presidency in January 2025.
While in Ghana, President Petr Pavel will hold bilateral talks with President Mahama, address a business forum, inaugurate a Czech-funded health facility and visit the Osu Castle and Kwame Nkrumah Memorial Park.
President Mahama will host a State Dinner in honour of the visiting Head of State.
SIGNED.
Felix Kwakye Ofosu (MP)
Spokesperson to the President &
Minister, Government Communications.","https://presidency.gov.gh/statement-3-day-state-visit-by-president-of-the-czech-republic/","04 April 2025","2025-12-05T19:45:05.803255"
56,"STATEMENT: Official visit to Ghana by H.E. Narendra Modi, Prime Minister of the Republic of India","The Presidency of the Republic of Ghana is pleased to announce that the Prime Minister of the Republic of India, His Excellency Narendra Modi, will undertake a two-day Official Visit to Ghana from Wednesday, 2nd July, to Thursday, 3rd July, 2025.
The visit highlights the warm and longstanding friendly relations between Ghana and India, as well as the importance both nations place on strengthening their strategic partnership.
The itinerary for the visit includes a bilateral meeting between President Mahama and Prime Minister Modi at the Presidency. The two leaders will engage in discussions aimed at deepening cooperation across various sectors, including trade, investment, agriculture, technology, education, healthcare, and energy. They will also exchange views on regional and global issues of mutual interest.
Key highlights of the visit will include the signing of several bilateral agreements to consolidate cooperation frameworks between Ghana and India, followed by a joint Press Conference addressed by President Mahama and Prime Minister Modi. President Mahama will also host a State Dinner in honour of Prime Minister Modi and his delegation.
The visit by Prime Minister Modi is expected to strengthen bilateral ties, foster deeper economic cooperation, and solidify the bonds of friendship between the peoples of Ghana and India.
—
SIGNED.
Felix Kwakye Ofosu (MP)
Spokesperson to the President &
Minister, Government Communications.","https://presidency.gov.gh/statement-official-visit-to-ghana-by-h-e-narendra-modi-prime-minister-of-the-republic-of-india/","27 June 2025","2025-12-05T19:45:05.869953"
57,"Mahama meets Japanese PM; discusses 3 key issues to deepen cooperation.","Ghana and Japan have signalled a new push to deepen economic cooperation and accelerate priority infrastructure projects during a bilateral meeting between President John Dramani Mahama and the Prime Minister Shigeru Ishiba of Japan on the sidelines of TICAD 9 in Yokohama.
President Mahama acknowledged Ghana’s central role in Japan’s cocoa supply, noting that Ghana accounts for about 70% of Japan’s cocoa imports.
He encouraged Japanese firms to expand investments in Ghana’s cocoa value chain, including a public–private partnership with the Cocoa Processing Company to revamp the plant and boost value addition.
The President also highlighted upcoming milestones in Ghana–Japan relations, including the centenary of Dr. Hideyo Noguchi’s arrival in Ghana and the 50th anniversary of the Japan Overseas Cooperation Volunteers (JOCV) in 2027—anniversaries he previously discussed with H.E. Hiroshi Yoshimoto, Japan’s Ambassador to Ghana.
On infrastructure, President Mahama stressed the strategic importance of the Volivo Bridge over the Volta River, a critical component of Ghana’s Eastern Corridor that links Accra and Tema to the north and onward to Burkina Faso and Niger.
He emphasised the bridge’s role in moving agricultural produce such as yams and maize from northern Ghana to markets in the south.
Mr Mahama also expressed appreciation to the Government of Japan for the JPY 11.239 billion loan signed on 5 December 2016 for the project and reaffirmed Ghana’s request for additional support—especially grants—to close the remaining 64% procurement gap.
Prime Minister Shigeru Ishiba welcomed closer collaboration with Ghana to expand infrastructure development and recalled the long-standing partnership that helped establish the Noguchi Memorial Institute for Medical Research.
He acknowledged that Japanese chocolate lovers depend largely on Ghanaian cocoa.
Reiterating Japan’s commitment to Ghana’s development priorities, the Prime Minister gave an assurance that Tokyo would work to expedite solutions to funding gaps to ensure the successful completion of key projects.
He also sought Ghana’s support for Japan’s candidate, Masahiko Metoki, for the position of Director General of the Universal Postal Union’s International Bureau and Ghana’s backing for Japan’s positions on reforms to make the United Nations Security Council more democratic.
The Tokyo International Conference on African Development brings together African leaders, Japan, and international partners to advance sustainable development and investment across the continent.","https://presidency.gov.gh/mahama-meets-japanese-pm-discusses-3-key-issues-to-deepen-cooperation/","21 August 2025","2025-12-05T19:45:05.933012"
58,"Stan Dogbe & Joyce Mogtari join other appointees at the Presidency","","https://presidency.gov.gh/stan-dogbe-joyce-mogtari-join-other-appointees-at-the-presidency/","23 January 2025","2025-12-05T19:45:05.992490"
59,"President Mahama meets Alex Soros of the Open Society Foundations.","President John Dramani Mahama held a highly productive meeting on Friday with Mr. Alex Soros, Chairman of the Board of Directors of the Open Society Foundations (OSF).
The discussion centred on Ghana’s notable progress in economic recovery, democratic governance, and regional stability.
President Mahama took the opportunity to brief Mr. Soros on the key policy measures driving Ghana’s economic revival and the notable progress being made.
He elaborated on the government’s ‘Reset Agenda’ aimed at fostering a positive national mindset, ongoing efforts to strengthen accountability institutions, and recent developments within the ECOWAS sub-region.
Ghana: A Beacon of Democracy.
President Mahama reiterated Ghana’s unwavering commitment to upholding the values of democracy, respect for human rights, and the fundamental freedoms of its citizenry.
He noted Ghana’s stellar reputation for democratic governance, marked by peaceful transitions under its 33-year-old Fourth Republican Constitution.
“We’ve had nine elections, all of which have been successful. And we’ve experienced several peaceful changes of government from one party to another, all of which have occurred smoothly.”
On the economic front, President Mahama stated that Ghana’s economy is recovering rapidly, a direct result of bold fiscal and monetary policies underpinned by robust governance principles. He noted the appreciation of the Ghana Cedi by approximately 42% and a sharp decline in the debt-to-GDP ratio, with the government targeting single-digit inflation in the coming months.
The President acknowledged that investor confidence had waned in the past due to governance challenges and weakened institutions. However, he reassured Mr. Soros that his administration is committed to non-interference in corruption-related cases and has instituted strict disciplinary measures for all appointees.
“There was a lot of corruption and a lack of accountability. So, we came in with a comprehensive programme to strengthen anti-corruption institutions,” President Mahama explained, referencing the “Operation Recover All the Loot (ORAL),” a major initiative to recover state assets.
“You will continue to hear of prosecutions and other measures against individuals who have mismanaged public resources, as we steadfastly pursue accountability.”
Addressing the delicate relations with the three Sahelian countries – Mali, Burkina Faso, and Niger – President Mahama assured Mr. Soros of positive progress in ongoing efforts to reunite the sub-region. He referred to visits to the three countries to establish channels for continuous communication and dialogue.
“We held an ECOWAS meeting barely three weeks ago, and happily, the whole mood has changed. There is now a clear appetite for rapprochement between ECOWAS and the three countries,” he said.
“Discussions are ongoing between the ECOWAS Secretariat and these nations. In the meantime, we all agreed to prioritise the free movement of people and goods across our borders and encourage transit trade.”
On his part, Mr. Alex Soros congratulated President Mahama on his re-election victory and commended his leadership. He explained that his visit to Ghana was part of activities marking the 50th anniversary of ECOWAS.
He noted that the Open Society Foundations in Africa have historically championed ECOWAS integration, celebrating significant achievements such as visa-free travel.
Mr. Soros, an investor and philanthropist, expressed his foundation’s interest in exploring partnerships and providing support for further regional integration efforts. Besides chairing the OSF Board, he also sits on the investment committee for the Soros Fund Management.","https://presidency.gov.gh/president-mahama-meets-alex-soros-of-the-open-society-foundations/","18 July 2025","2025-12-05T19:45:06.061013"
60,"National Day of Prayer fixed on July 1st.","President John Dramani Mahama, in fulfilment of his campaign promise, has officially declared Republic Day, the 1st of July of every year, as Ghana’s official National Day of Prayer and Thanksgiving.
The president has set aside the day to unite Ghanaians of all faiths and express gratitude to God for the nation’s abundant blessings. The President declared that when he inaugurated a committee to plan the National Day of Prayer and Thanksgiving. The Committee is chaired by former Minister Elvis Afriyie Ankrah, with Prophet Dr Akwasi Agyemang Prempeh as the Coordinator.
The committee members are drawn from the various Christian and Islamic denominations and councils.
In his remarks, the president said, “Today I address you not only as your President but as a fellow Ghanaian, grateful to the Almighty God for his continued mercy upon our land and our people.”
“We’ve gathered here today as a nation united by faith, hope, and a shared destiny to inaugurate a sacred initiative that reflects the soul of our nation.
“In an era marked by division, disaster, and despair, Ghana remains, by the grace of God, an oasis of peace, stability, and spiritual unity. This peace is not accidental; it is the result of committed leadership, communal resilience, and, above all, the steadfast prayers and supplications of a faithful nation.”
The President, who interwove his speech with quotations from both the Bible and the Quran, said: “Let this be a legacy, a sacred pause in our national calendar that generations to come will celebrate. A day when Ghana does not cry out in fear but rejoices in faith. May God bless the work of the National Prayer and Thanksgiving Committee.”","https://presidency.gov.gh/national-day-of-prayer-fixed-on-july-1st/","25 April 2025","2025-12-05T19:45:06.122373"
